url,chemical_name,numericals
http://www.industrialchemistry.org/PDF/r2012.pdf,methabenzthiazuron,[18691-97-9]
http://www.industrialchemistry.org/PDF/r10771.pdf,1-benzyl-2-methylimidazole,"[13750-62-4],[237-333-8]"
http://www.industrialchemistry.org/PDF/r14122.pdf,1-bromo-2-chloroethane,"[107-04-0],[203-456-0]"
http://www.industrialchemistry.org/PDF/r6182.pdf,"1-bromo-3-chloro-5,5-dimethylhydantoin",[126-06-7]
http://www.industrialchemistry.org/PDF/r24.pdf,1-bromo-3-chloropropane,"[109-70-6],[203-697-1]"
http://www.industrialchemistry.org/PDF/r15463.pdf,m-bromoanisole,"[2398-37-0],[219-264-5]"
http://www.industrialchemistry.org/PDF/r13199.pdf,isoamyl bromide,[107-82-4]
http://www.industrialchemistry.org/PDF/r15508.pdf,"3,5-difluorobromobenzene",[461-96-1]
http://www.industrialchemistry.org/PDF/r17497.pdf,p-bromoanisole,"[104-92-7],[203-252-1]"
http://www.industrialchemistry.org/PDF/r3681.pdf,1-bromo-4-methylaminoanthraquinone,[128-93-8]
http://www.industrialchemistry.org/PDF/r15490.pdf,4-phenylbutyl bromide,[13633-25-5]
http://www.industrialchemistry.org/PDF/r12150.pdf,1-bromoadamantane,[768-90-1]
http://www.industrialchemistry.org/PDF/r9107.pdf,cetyl bromide,"[112-82-3],[204-008-7]"
http://www.industrialchemistry.org/PDF/r9355.pdf,n-hexyl bromide,"[111-25-1],[203-850-2]"
http://www.industrialchemistry.org/PDF/r9561.pdf,n-octyl bromide,"[111-83-1],[203-912-9]"
http://www.industrialchemistry.org/PDF/r10273.pdf,n-amyl bromide,[110-53-2]
http://www.industrialchemistry.org/PDF/r3399.pdf,n-propyl bromide,[106-94-5]
http://www.industrialchemistry.org/PDF/r9537.pdf,myristyl bromide,"[112-71-0],[203-999-3]"
http://www.industrialchemistry.org/PDF/r587.pdf,n-butyl mercaptan,"[109-79-5],[203-705-3]"
http://www.industrialchemistry.org/PDF/r4162.pdf,1-butene,[106-98-9]
http://www.industrialchemistry.org/PDF/r989.pdf,1-butyn-3-ol,[2028-63-9]
http://www.industrialchemistry.org/PDF/r12313.pdf,"1-chloro-1,2,2,2-tetrafluoroethane",[2837-89-0]
http://www.industrialchemistry.org/PDF/r6994.pdf,"1-chloro-1,1-difluoroethane",[75-68-3]
http://www.industrialchemistry.org/PDF/r3576.pdf,1-chloro-2-methylanthraquinone,[129-35-1]
http://www.industrialchemistry.org/PDF/r12315.pdf,"1-chloro-2,2,2-trifluoroethane",[75-88-7]
http://www.industrialchemistry.org/PDF/r15524.pdf,4-chlororesorcinol,"[95-88-5],[202-462-0]"
http://www.industrialchemistry.org/PDF/r676.pdf,"1-chloro-2,4-dinitrobenzene",[97-00-7]
http://www.industrialchemistry.org/PDF/r611.pdf,a-chloropinacolone,"[13547-70-1],[236-920-6]"
http://www.industrialchemistry.org/PDF/r12154.pdf,1-chloro-4-hydroxyanthraquinone,"[82-42-8],[201-419-3]"
http://www.industrialchemistry.org/PDF/r17479.pdf,4-chlorobutyraldehyde dimethylacetal,"[29882-07-3],[249-924-8]"
http://www.industrialchemistry.org/PDF/r3563.pdf,1-chloroanthraquinone,"[82-44-0],[201-421-4]"
http://www.industrialchemistry.org/PDF/r1577.pdf,n-butyl chloride,[109-69-3]
http://www.industrialchemistry.org/PDF/r6869.pdf,lauryl chloride,"[112-52-7],[203-981-5]"
http://www.industrialchemistry.org/PDF/r12112.pdf,1-chloroethyl ethyl carbonate,[50893-36-2]
http://www.industrialchemistry.org/PDF/r3043.pdf,cetyl chloride,"[4860-03-1],[225-461-7]"
http://www.industrialchemistry.org/PDF/r3286.pdf,n-hexyl chloride,"[544-10-5],[208-859-5]"
http://www.industrialchemistry.org/PDF/r2454.pdf,chloroacetone,"[78-95-5],[201-161-1]"
http://www.industrialchemistry.org/PDF/r12252.pdf,myristyl chloride,"[2425-54-9],[219-368-0]"
http://www.industrialchemistry.org/PDF/r16099.pdf,4-pentenenitrile,"[592-51-8],[209-762-0]"
http://www.industrialchemistry.org/PDF/r10959.pdf,cyanopinacolone,[59997-51-2]
http://www.industrialchemistry.org/PDF/r15093.pdf,p-fluorobenzonitrile,"[1194-02-1],[214-784-9]"
