Name,Actual Price,Discounted Price,Manufacturer,Medicine URL
Beurer Digital Baby Food Warmer - BY 52,"Rs 4,500","Rs. 4,050",Beurer,https://dawaai.pk/beurer-digital-baby-food-warmer-jby-52-2-5038.html
MY Feedo 250ML 3214,Rs 116,Rs. 104,MY Feedo,https://dawaai.pk/my-feedo-250ml-4980.html
Beurer Manual Breast Pump BY-15,"Rs 3,750","Rs. 3,375",Beurer,https://dawaai.pk/beurer-nebulizer-by-15-21615.html
Rossmax Digital Baby Scale WE 300,"Rs 5,625","Rs. 5,063",Rossmax,https://dawaai.pk/digital-baby-scale-we-300-2-23402.html
Beurer Digital Steam Sterilizer - BY 76,"Rs 7,000","Rs. 6,300",Beurer,https://dawaai.pk/beurer-digital-steam-sterilizer-by-76-1-4945.html
Cuddles Nipple 9 Month + 2's,Rs 399,Rs. 359,Cuddles,https://dawaai.pk/nipple-9-month-2s-37908.html
Cuddles Nipple 6 Month + 2's,Rs 349,Rs. 314,Cuddles,https://dawaai.pk/nipple-6-month-2s-37907.html
Cuddles Nipple 1 Month + 2's,Rs 299,Rs. 269,Cuddles,https://dawaai.pk/nipple-1-month-2s-37906.html
Nipple 0 Month + 2's,Rs 249,Rs. 224,Cuddles,https://dawaai.pk/nipple-0-month-37905.html
Cuddles Feeder Natural Shape 330ml,Rs 499,Rs. 449,Cuddles,https://dawaai.pk/feeder-natural-shape-330ml-37904.html
Cuddles Feeder Natural Shape 260ml,Rs 449,Rs. 404,Cuddles,https://dawaai.pk/feeder-natural-shape-260ml-37903.html
Cuddles Feeder Natural Shape 150ml,Rs 399,Rs. 359,Cuddles,https://dawaai.pk/feeder-natural-shape-150ml-37902.html
The Vitamin Company Vita Acne Cream,"Rs 1,200","Rs. 1,080",The Vitamin Company,https://dawaai.pk/the-vitamin-company-vita-acne-cream-4690.html
The Vitamin Company Whitening Apricot Scrub,Rs 500,Rs. 450,The Vitamin Company,https://dawaai.pk/the-vitamin-company-whitening-apricot-scrub-4689.html
The Vitamin Company Seaweed Whitening Day Cream,Rs 500,Rs. 450,The Vitamin Company,https://dawaai.pk/the-vitamin-company-seaweed-mat-4688.html
Herbline Essentials Walnut & Henna Shampoo 220ml,"Rs 2,300","Rs. 2,070",Herbline Essentials,https://dawaai.pk/herbline-essentials-walnut-henna-shampoo-220ml-3659.html
AVON Naturals Hair Care Full Volume Shampoo 250ml,Rs 365,Rs. 329,Avon,https://dawaai.pk/avon-naturals-hair-care-full-volume-shampoo-250ml-3914.html
"Herbline Essentials Aloe Vera, Apricot & Sunflower Nourishing Cream 50gm","Rs 2,700","Rs. 2,430",Herbline Essentials,https://dawaai.pk/herbline-essentials-aloe-vera-apricot-sunflower-nourishing-cream-50gm-3655.html
Repair Rescue Shampoo - 258ml,"Rs 1,800","Rs. 1,620",Beaver Professional,https://dawaai.pk/repair-rescue-shampoo-258ml-33862.html
Herbline Essentials Aloe Vera and Honey Hydra 5 Gel 50gm,"Rs 2,500","Rs. 2,250",Herbline Essentials,https://dawaai.pk/herbline-essentials-aloe-vera-and-honey-hydra-5-gel-50gm-3652.html
Junsui Naturals Face Wash Papaya Scrub 100gm,Rs 265,Rs. 239,Junsui Naturals,https://dawaai.pk/junsui-naturals-face-wash-papaya-scrub-100gm-4918.html
Junsui Naturals Face Wash Oil Control 100gm,Rs 265,Rs. 239,Junsui Naturals,https://dawaai.pk/junsui-naturals-face-wash-oil-control-100gm-4917.html
Junsui Naturals Face Wash Pimple Fighting 100gm,Rs 265,Rs. 239,Junsui Naturals,https://dawaai.pk/junsui-naturals-face-wash-pimple-fighting-100gm-4916.html
Garnier Light & Radiant Fairness Face Wash - 100ml,Rs 269,Rs. 242,Garnier,https://dawaai.pk/garnier-light-radiant-fairness-face-wash-100ml-4660.html
Junsui Naturals Face Wash Neem 100gm,Rs 265,Rs. 239,Junsui Naturals,https://dawaai.pk/junsui-naturals-face-wash-neem-100gm-4915.html
Junsui Naturals Face Wash Cool 100gm,Rs 265,Rs. 239,Junsui Naturals,https://dawaai.pk/junsui-naturals-face-wash-cool-100gm-4914.html
Neutrogena  Oil Free Acne Wash 200 ml,"Rs 1,400","Rs. 1,260",Neutrogena,https://dawaai.pk/neutrogena-visibly-clear-oil-free-acne-wash-200-ml-4907.html
Framesi Color Lover Curl Definition Disciplinante Conditioner - 500ML,"Rs 1,050",Rs. 945,Framesi,https://dawaai.pk/framesi-color-lover-curl-definition-disciplinante-conditioner-500ml-4138.html
DERMACIDE AF SOAP,Rs 130,Rs. 117,Dawaai,https://dawaai.pk/dermacide-af-soap-36388.html
Herbline Essentials White Lily & Ginger Foaming Face Wash 150ml,"Rs 2,500","Rs. 2,250",Herbline Essentials,https://dawaai.pk/herbline-essentials-white-lily-ginger-foaming-face-wash-150ml-3600.html
Hitone Whitening Face wash,Rs 650,Rs. 585,Crysolite,https://dawaai.pk/hitone-whitening-face-wash-36367.html
Beurer Shoulder Neck heating pad - HK 54 Cosy,"Rs 6,800","Rs. 6,120",Beurer,https://dawaai.pk/beurer-shoulder-neck-heating-pad-hk-54-cosy-2759.html
Relispa Forte 80mg  tablet,Rs.91.38/Pack,Rs.77.67/Pack,Searle,https://dawaai.pk/relispa-forte-80mg-38275.html
Butterfly Breathables Maxi Thick Value Pack Large,Rs 220,Rs. 198,Butterfly,https://dawaai.pk/butterfly-butterfly-maxi-large-value-pack-18pcs-20863.html
Always Ultra Thin Extra Long 14 Pads,Rs 320,Rs. 288,Always,https://dawaai.pk/always-ultra-thin-extra-long-14-pads-38261.html
Always Ultra Thin Long 8 Pads,Rs 165,Rs. 149,Always,https://dawaai.pk/always-ultra-thin-long-8-pads-38252.html
Always Ultra Long 16 pads,Rs 350,Rs. 315,Always,https://dawaai.pk/always-ultra-long-16-pads-38250.html
Pampers Pants Culottes size 4 (9-14 kg)  2 Counts,Rs 90,Rs. 81,Pampers,https://dawaai.pk/pampers-pants-culottes-size-4-9-14-kg-38236.html
Always Maxi Thick Long 18 Pads,Rs 320,Rs. 288,Always,https://dawaai.pk/always-maxi-thick-long-18-pads-38235.html
Always Maxi Thick Extra Long 8 Pads ,Rs 180,Rs. 162,Always,https://dawaai.pk/always-maxi-thick-8-pads-38233.html
Always Ultra Thin Extra Long 7 Pads,Rs 165,Rs. 149,Always,https://dawaai.pk/always-ultra-thin-7-pads-38232.html
Always Maxi Thick Long 9 Pads,Rs 165,Rs. 149,Always,https://dawaai.pk/alway-maxi-thick-long-9-pads-1-38231.html
Butterfly Panty Liner 180mm Pack,Rs 250,Rs. 225,Butterfly,https://dawaai.pk/panty-liner-180mm-pack-43832.html
Butterfly Ultra Big Saver Long - 18Pcs Large,Rs 220,Rs. 198,Butterfly,https://dawaai.pk/butterfly-ultra-big-saver-long-43831.html
Butterfly Ultra Big Saver - 16Pcs XXL,Rs 220,Rs. 198,Butterfly,https://dawaai.pk/butterfly-ultra-big-saver-43830.html
Butterfly Maxi Cotton Extra Large,Rs 160,Rs. 144,Butterfly,https://dawaai.pk/butterfly-maxi-cotton-extra-large-43829.html
Butterfly Maxi Cotton Long,Rs 160,Rs. 144,Butterfly,https://dawaai.pk/butterfly-maxi-cotton-long-43828.html
Butterfly Maxi Breathable Extra Long,Rs 160,Rs. 144,Butterfly,https://dawaai.pk/butterfly-maxi-breathable-extra-long-43827.html
Butterfly Maxi Breathable 9 Long ,Rs 160,Rs. 144,Butterfly,https://dawaai.pk/butterfly-maxi-breathable-long-ultra-43826.html
